rol,exp,rutina,estructuracion,creatividad,resolucion,interaccion,automatizacion,automatizacion_cat
backend,2.0,1.0,1.0,3.0,3.0,2.0,1.0,baja
data_scientist,3.0,2.0,3.0,3.0,1.0,5.0,1.0,baja
ciberseguridad,4.0,1.0,2.0,5.0,5.0,1.0,1.0,baja
backend,4.0,3.0,2.0,1.0,2.0,5.0,5.0,alta
ml_engineer,1.0,2.0,1.0,3.0,3.0,3.0,4.0,alta
frontend,2.0,5.0,3.0,3.0,5.0,3.0,1.0,baja
soporte_ti,3.0,5.0,2.0,3.0,3.0,5.0,1.0,baja
frontend,4.0,1.0,4.0,1.0,2.0,5.0,0.0,baja
sysadmin,1.0,2.0,2.0,5.0,4.0,2.0,3.0,media
soporte_ti,4.0,5.0,2.0,3.0,4.0,2.0,2.0,media
data_analyst,1.0,2.0,3.0,5.0,4.0,3.0,2.0,media
backend,5.0,1.0,3.0,1.0,3.0,4.0,2.0,media
frontend,4.0,1.0,3.0,5.0,3.0,3.0,0.0,baja
ml_engineer,2.0,5.0,3.0,1.0,3.0,4.0,2.0,media
soporte_ti,3.0,3.0,3.0,5.0,5.0,5.0,3.0,media
devops,1.0,5.0,4.0,2.0,5.0,5.0,2.0,media
ciberseguridad,2.0,1.0,3.0,1.0,1.0,1.0,3.0,media
qa,1.0,5.0,2.0,4.0,4.0,1.0,3.0,media
frontend,4.0,4.0,1.0,5.0,4.0,1.0,5.0,alta
data_analyst,5.0,1.0,1.0,5.0,5.0,1.0,4.0,alta
ciberseguridad,4.0,1.0,3.0,3.0,1.0,3.0,1.0,baja
soporte_ti,1.0,1.0,1.0,5.0,2.0,1.0,2.0,media
frontend,3.0,4.0,2.0,1.0,4.0,1.0,5.0,alta
ml_engineer,5.0,3.0,1.0,5.0,4.0,5.0,5.0,alta
backend,5.0,2.0,1.0,1.0,5.0,1.0,2.0,media
ml_engineer,2.0,4.0,4.0,3.0,3.0,4.0,3.0,media
ml_engineer,3.0,1.0,4.0,1.0,5.0,3.0,4.0,alta
data_analyst,1.0,1.0,3.0,3.0,1.0,1.0,3.0,media
ml_engineer,1.0,4.0,2.0,2.0,3.0,1.0,3.0,media
data_scientist,5.0,5.0,3.0,4.0,4.0,3.0,2.0,media
sysadmin,3.0,5.0,5.0,1.0,3.0,1.0,1.0,baja
backend,1.0,2.0,3.0,3.0,4.0,4.0,1.0,baja
qa,2.0,3.0,5.0,1.0,3.0,4.0,3.0,media
ml_engineer,2.0,3.0,3.0,1.0,5.0,3.0,3.0,media
soporte_ti,5.0,3.0,3.0,4.0,5.0,3.0,3.0,media
data_analyst,5.0,5.0,4.0,1.0,5.0,5.0,5.0,alta
data_analyst,3.0,3.0,4.0,2.0,1.0,4.0,5.0,alta
data_scientist,4.0,5.0,4.0,1.0,3.0,1.0,3.0,media
backend,3.0,5.0,5.0,3.0,1.0,1.0,5.0,alta
data_scientist,3.0,5.0,1.0,5.0,3.0,4.0,4.0,alta
backend,1.0,1.0,1.0,2.0,3.0,3.0,2.0,media
ml_engineer,5.0,4.0,1.0,1.0,5.0,1.0,3.0,media
backend,2.0,4.0,4.0,1.0,3.0,5.0,5.0,alta
data_analyst,3.0,4.0,5.0,2.0,4.0,3.0,3.0,media
sysadmin,5.0,1.0,5.0,1.0,1.0,4.0,4.0,alta
backend,1.0,1.0,3.0,2.0,5.0,4.0,5.0,alta
ciberseguridad,5.0,4.0,1.0,5.0,3.0,1.0,3.0,media
qa,4.0,4.0,3.0,2.0,2.0,3.0,0.0,baja
data_analyst,5.0,3.0,1.0,1.0,2.0,2.0,4.0,alta
devops,4.0,1.0,1.0,1.0,5.0,3.0,5.0,alta
data_scientist,2.0,1.0,4.0,3.0,5.0,1.0,1.0,baja
frontend,1.0,3.0,3.0,4.0,4.0,4.0,1.0,baja
ml_engineer,5.0,1.0,3.0,4.0,2.0,4.0,5.0,alta
ciberseguridad,3.0,5.0,1.0,4.0,1.0,2.0,5.0,alta
qa,1.0,4.0,2.0,2.0,3.0,3.0,1.0,baja
data_scientist,5.0,5.0,1.0,1.0,4.0,4.0,3.0,media
qa,1.0,3.0,2.0,2.0,2.0,4.0,1.0,baja
qa,2.0,1.0,3.0,1.0,3.0,5.0,4.0,alta
soporte_ti,5.0,5.0,2.0,2.0,5.0,4.0,3.0,media
frontend,3.0,3.0,5.0,3.0,4.0,4.0,0.0,baja
backend,3.0,3.0,4.0,2.0,5.0,5.0,1.0,baja
backend,2.0,3.0,5.0,2.0,1.0,5.0,4.0,alta
frontend,5.0,1.0,2.0,2.0,3.0,5.0,3.0,media
sysadmin,3.0,1.0,3.0,3.0,3.0,1.0,5.0,alta
sysadmin,3.0,3.0,3.0,3.0,5.0,4.0,5.0,alta
frontend,4.0,3.0,4.0,3.0,4.0,3.0,1.0,baja
qa,2.0,5.0,2.0,2.0,5.0,1.0,5.0,alta
ml_engineer,1.0,4.0,3.0,1.0,2.0,5.0,5.0,alta
sysadmin,1.0,5.0,4.0,2.0,4.0,4.0,4.0,alta
qa,2.0,4.0,3.0,2.0,2.0,3.0,2.0,media
qa,1.0,2.0,5.0,4.0,1.0,5.0,1.0,baja
sysadmin,4.0,5.0,1.0,1.0,3.0,3.0,4.0,alta
backend,1.0,5.0,1.0,4.0,1.0,3.0,5.0,alta
data_analyst,4.0,5.0,2.0,4.0,5.0,2.0,5.0,alta
devops,1.0,2.0,1.0,4.0,1.0,1.0,0.0,baja
data_scientist,1.0,1.0,1.0,1.0,3.0,5.0,4.0,alta
soporte_ti,2.0,2.0,1.0,3.0,3.0,2.0,5.0,alta
data_scientist,1.0,3.0,4.0,1.0,5.0,3.0,3.0,media
ciberseguridad,4.0,5.0,3.0,5.0,4.0,1.0,4.0,alta
ml_engineer,4.0,2.0,1.0,2.0,3.0,3.0,3.0,media
data_scientist,4.0,3.0,2.0,5.0,4.0,2.0,3.0,media
data_analyst,1.0,3.0,3.0,4.0,2.0,3.0,3.0,media
devops,1.0,5.0,4.0,3.0,2.0,3.0,5.0,alta
soporte_ti,2.0,2.0,1.0,2.0,3.0,5.0,5.0,alta
ciberseguridad,3.0,5.0,4.0,3.0,4.0,1.0,2.0,media
data_scientist,3.0,1.0,1.0,2.0,1.0,4.0,5.0,alta
qa,1.0,5.0,5.0,4.0,1.0,1.0,5.0,alta
data_scientist,3.0,1.0,1.0,5.0,4.0,3.0,3.0,media
ml_engineer,2.0,1.0,2.0,3.0,3.0,4.0,0.0,baja
sysadmin,3.0,2.0,2.0,5.0,4.0,5.0,1.0,baja
soporte_ti,1.0,1.0,2.0,4.0,5.0,1.0,0.0,baja
sysadmin,1.0,4.0,2.0,1.0,3.0,1.0,2.0,media
devops,1.0,1.0,1.0,2.0,4.0,5.0,3.0,media
data_analyst,2.0,2.0,2.0,1.0,2.0,2.0,3.0,media
qa,4.0,4.0,4.0,1.0,2.0,4.0,5.0,alta
data_scientist,3.0,4.0,2.0,1.0,5.0,1.0,0.0,baja
data_analyst,4.0,1.0,3.0,1.0,4.0,1.0,1.0,baja
devops,3.0,2.0,5.0,4.0,4.0,2.0,3.0,media
sysadmin,3.0,5.0,4.0,1.0,2.0,3.0,2.0,media
backend,1.0,1.0,2.0,1.0,1.0,1.0,2.0,media
frontend,3.0,4.0,2.0,3.0,4.0,1.0,3.0,media
devops,3.0,3.0,4.0,1.0,1.0,1.0,5.0,alta
sysadmin,5.0,1.0,2.0,5.0,4.0,4.0,2.0,media
devops,2.0,2.0,1.0,2.0,4.0,2.0,5.0,alta
ciberseguridad,1.0,2.0,4.0,5.0,4.0,2.0,2.0,media
ciberseguridad,3.0,5.0,3.0,3.0,1.0,1.0,2.0,media
frontend,1.0,2.0,1.0,2.0,2.0,4.0,5.0,alta
soporte_ti,2.0,1.0,4.0,1.0,4.0,4.0,3.0,media
ml_engineer,3.0,1.0,1.0,3.0,3.0,2.0,4.0,alta
backend,5.0,2.0,1.0,5.0,4.0,2.0,1.0,baja
soporte_ti,1.0,1.0,5.0,5.0,5.0,4.0,5.0,alta
devops,2.0,2.0,4.0,2.0,2.0,2.0,5.0,alta
devops,5.0,1.0,1.0,3.0,3.0,3.0,1.0,baja
backend,2.0,4.0,1.0,1.0,1.0,3.0,4.0,alta
devops,3.0,2.0,1.0,3.0,5.0,5.0,3.0,media
data_scientist,5.0,2.0,3.0,3.0,2.0,1.0,3.0,media
soporte_ti,5.0,3.0,5.0,3.0,2.0,5.0,5.0,alta
frontend,1.0,1.0,1.0,5.0,1.0,2.0,0.0,baja
data_scientist,4.0,1.0,2.0,2.0,3.0,3.0,4.0,alta
ml_engineer,5.0,4.0,5.0,1.0,5.0,3.0,4.0,alta
qa,3.0,4.0,3.0,4.0,2.0,4.0,6.0,alta
data_scientist,3.0,4.0,2.0,2.0,4.0,5.0,1.0,baja
devops,3.0,1.0,2.0,1.0,3.0,1.0,1.0,baja
data_scientist,1.0,5.0,2.0,5.0,3.0,3.0,4.0,alta
backend,2.0,4.0,2.0,5.0,2.0,3.0,1.0,baja
data_scientist,1.0,1.0,1.0,5.0,1.0,4.0,1.0,baja
data_scientist,5.0,5.0,2.0,5.0,5.0,3.0,1.0,baja
sysadmin,5.0,5.0,5.0,1.0,5.0,4.0,3.0,media
backend,3.0,2.0,5.0,4.0,2.0,5.0,5.0,alta
data_analyst,2.0,3.0,4.0,1.0,4.0,3.0,1.0,baja
data_scientist,2.0,3.0,3.0,1.0,5.0,1.0,2.0,media
devops,1.0,5.0,1.0,4.0,5.0,5.0,3.0,media
data_scientist,4.0,4.0,5.0,1.0,5.0,2.0,3.0,media
data_analyst,4.0,2.0,2.0,2.0,5.0,4.0,6.0,alta
backend,3.0,5.0,3.0,5.0,2.0,5.0,5.0,alta
data_scientist,4.0,2.0,4.0,4.0,2.0,2.0,1.0,baja
qa,3.0,2.0,1.0,3.0,5.0,3.0,4.0,alta
soporte_ti,1.0,1.0,4.0,2.0,2.0,5.0,1.0,baja
devops,2.0,5.0,2.0,1.0,5.0,5.0,5.0,alta
backend,4.0,1.0,5.0,3.0,3.0,2.0,3.0,media
ml_engineer,5.0,3.0,1.0,4.0,3.0,5.0,1.0,baja
sysadmin,5.0,1.0,1.0,4.0,3.0,2.0,5.0,alta
ciberseguridad,2.0,5.0,3.0,2.0,1.0,2.0,3.0,media
frontend,3.0,3.0,4.0,3.0,5.0,2.0,1.0,baja
ciberseguridad,1.0,2.0,5.0,2.0,4.0,2.0,5.0,alta
frontend,4.0,1.0,5.0,5.0,5.0,3.0,3.0,media
sysadmin,2.0,1.0,4.0,3.0,2.0,1.0,1.0,baja
data_scientist,2.0,2.0,3.0,3.0,5.0,3.0,0.0,baja
devops,2.0,3.0,4.0,1.0,1.0,3.0,4.0,alta
devops,5.0,5.0,1.0,1.0,5.0,4.0,3.0,media
data_scientist,1.0,3.0,5.0,2.0,5.0,2.0,3.0,media
soporte_ti,4.0,4.0,3.0,3.0,2.0,1.0,3.0,media
data_analyst,1.0,1.0,5.0,5.0,3.0,4.0,2.0,media
devops,1.0,2.0,5.0,1.0,5.0,4.0,5.0,alta
sysadmin,1.0,1.0,4.0,1.0,3.0,5.0,1.0,baja
qa,3.0,5.0,5.0,1.0,2.0,1.0,3.0,media
sysadmin,1.0,2.0,3.0,3.0,5.0,3.0,4.0,alta
devops,3.0,2.0,2.0,5.0,3.0,4.0,5.0,alta
soporte_ti,1.0,1.0,3.0,5.0,2.0,1.0,3.0,media
frontend,1.0,5.0,1.0,3.0,3.0,5.0,1.0,baja
sysadmin,5.0,3.0,2.0,4.0,1.0,5.0,5.0,alta
data_analyst,2.0,3.0,5.0,2.0,1.0,1.0,1.0,baja
devops,1.0,1.0,5.0,2.0,3.0,3.0,4.0,alta
ml_engineer,3.0,2.0,4.0,2.0,4.0,5.0,3.0,media
ciberseguridad,3.0,3.0,3.0,4.0,1.0,1.0,3.0,media
qa,4.0,4.0,3.0,5.0,3.0,2.0,2.0,media
data_analyst,5.0,2.0,4.0,1.0,3.0,2.0,1.0,baja
soporte_ti,1.0,2.0,2.0,4.0,5.0,1.0,2.0,media
soporte_ti,1.0,4.0,1.0,3.0,4.0,5.0,3.0,media
data_scientist,2.0,3.0,3.0,4.0,4.0,1.0,3.0,media
soporte_ti,3.0,4.0,2.0,1.0,4.0,1.0,3.0,media
frontend,5.0,3.0,3.0,4.0,3.0,2.0,3.0,media
backend,5.0,5.0,5.0,5.0,5.0,2.0,5.0,alta
devops,2.0,3.0,3.0,1.0,4.0,3.0,5.0,alta
soporte_ti,5.0,4.0,5.0,2.0,1.0,4.0,3.0,media
backend,2.0,4.0,1.0,4.0,3.0,3.0,3.0,media
devops,3.0,5.0,4.0,4.0,2.0,4.0,2.0,media
backend,4.0,1.0,4.0,3.0,5.0,2.0,2.0,media
sysadmin,2.0,3.0,3.0,1.0,3.0,1.0,2.0,media
devops,3.0,1.0,5.0,5.0,5.0,1.0,4.0,alta
soporte_ti,4.0,5.0,2.0,4.0,3.0,1.0,3.0,media
devops,5.0,1.0,3.0,5.0,3.0,3.0,2.0,media
data_analyst,1.0,3.0,4.0,3.0,3.0,5.0,2.0,media
ml_engineer,5.0,4.0,2.0,3.0,5.0,2.0,4.0,alta
ml_engineer,1.0,3.0,1.0,3.0,1.0,3.0,4.0,alta
frontend,3.0,4.0,2.0,5.0,3.0,1.0,5.0,alta
devops,2.0,2.0,3.0,4.0,5.0,3.0,1.0,baja
sysadmin,4.0,5.0,5.0,3.0,3.0,5.0,5.0,alta
data_scientist,3.0,4.0,1.0,3.0,5.0,4.0,1.0,baja
devops,1.0,3.0,1.0,3.0,3.0,3.0,1.0,baja
ml_engineer,3.0,4.0,1.0,4.0,1.0,2.0,2.0,media
backend,1.0,2.0,5.0,4.0,4.0,5.0,0.0,baja
data_analyst,5.0,3.0,2.0,5.0,3.0,5.0,5.0,alta
data_scientist,5.0,1.0,3.0,3.0,2.0,4.0,2.0,media
ciberseguridad,5.0,5.0,2.0,2.0,3.0,2.0,3.0,media
qa,1.0,2.0,2.0,5.0,3.0,1.0,5.0,alta
data_scientist,5.0,5.0,5.0,3.0,5.0,1.0,1.0,baja
sysadmin,5.0,5.0,4.0,4.0,5.0,4.0,5.0,alta
ml_engineer,1.0,4.0,3.0,1.0,3.0,3.0,4.0,alta
soporte_ti,1.0,4.0,2.0,1.0,1.0,3.0,2.0,media
qa,5.0,3.0,5.0,2.0,4.0,4.0,3.0,media
ciberseguridad,4.0,2.0,5.0,5.0,3.0,2.0,2.0,media
frontend,2.0,4.0,1.0,3.0,1.0,4.0,0.0,baja
frontend,4.0,1.0,2.0,3.0,1.0,2.0,3.0,media
ciberseguridad,4.0,2.0,4.0,5.0,1.0,4.0,4.0,alta
data_analyst,4.0,2.0,5.0,5.0,1.0,1.0,3.0,media
sysadmin,5.0,1.0,3.0,4.0,5.0,3.0,4.0,alta
data_analyst,2.0,3.0,2.0,3.0,1.0,1.0,2.0,media
soporte_ti,4.0,4.0,2.0,1.0,1.0,2.0,4.0,alta
backend,2.0,1.0,3.0,4.0,4.0,5.0,2.0,media
devops,5.0,5.0,5.0,1.0,2.0,4.0,1.0,baja
devops,5.0,1.0,3.0,3.0,1.0,5.0,4.0,alta
frontend,2.0,2.0,2.0,5.0,4.0,5.0,1.0,baja
backend,2.0,1.0,4.0,1.0,1.0,1.0,3.0,media
data_analyst,5.0,2.0,5.0,1.0,4.0,4.0,1.0,baja
ml_engineer,3.0,1.0,5.0,3.0,1.0,4.0,2.0,media
ciberseguridad,5.0,2.0,1.0,3.0,1.0,1.0,3.0,media
backend,5.0,3.0,1.0,1.0,5.0,3.0,3.0,media
ciberseguridad,2.0,2.0,2.0,2.0,2.0,1.0,5.0,alta
ml_engineer,3.0,2.0,1.0,3.0,5.0,4.0,3.0,media
backend,4.0,5.0,5.0,4.0,4.0,1.0,3.0,media
qa,2.0,3.0,2.0,5.0,5.0,3.0,3.0,media
devops,5.0,5.0,3.0,3.0,3.0,5.0,3.0,media
soporte_ti,5.0,2.0,4.0,3.0,1.0,3.0,3.0,media
soporte_ti,2.0,5.0,3.0,1.0,4.0,5.0,4.0,alta
soporte_ti,1.0,1.0,4.0,4.0,5.0,2.0,2.0,media
frontend,4.0,4.0,1.0,2.0,2.0,2.0,5.0,alta
backend,1.0,1.0,1.0,2.0,1.0,2.0,5.0,alta
data_scientist,3.0,5.0,5.0,3.0,3.0,1.0,4.0,alta
frontend,1.0,5.0,2.0,3.0,3.0,3.0,2.0,media
soporte_ti,1.0,5.0,1.0,1.0,5.0,5.0,1.0,baja
data_analyst,5.0,3.0,5.0,3.0,4.0,4.0,3.0,media
soporte_ti,1.0,1.0,3.0,4.0,3.0,3.0,2.0,media
sysadmin,2.0,1.0,4.0,5.0,5.0,1.0,3.0,media
ciberseguridad,2.0,3.0,2.0,3.0,1.0,2.0,2.0,media
soporte_ti,2.0,5.0,4.0,2.0,3.0,4.0,2.0,media
soporte_ti,3.0,2.0,3.0,3.0,2.0,5.0,4.0,alta
data_analyst,5.0,4.0,3.0,5.0,3.0,1.0,4.0,alta
soporte_ti,1.0,3.0,2.0,2.0,1.0,2.0,3.0,media
ml_engineer,1.0,2.0,4.0,5.0,1.0,1.0,4.0,alta
soporte_ti,5.0,4.0,3.0,1.0,3.0,1.0,3.0,media
sysadmin,3.0,4.0,5.0,5.0,3.0,3.0,3.0,media
sysadmin,3.0,4.0,5.0,5.0,3.0,5.0,6.0,alta
data_scientist,4.0,1.0,3.0,3.0,4.0,1.0,0.0,baja
sysadmin,1.0,2.0,5.0,3.0,3.0,2.0,3.0,media
soporte_ti,5.0,5.0,4.0,3.0,2.0,4.0,4.0,alta
data_analyst,2.0,3.0,5.0,4.0,2.0,3.0,6.0,alta
sysadmin,4.0,3.0,3.0,5.0,3.0,3.0,1.0,baja
frontend,2.0,4.0,4.0,5.0,2.0,1.0,6.0,alta
data_analyst,5.0,4.0,5.0,4.0,5.0,3.0,5.0,alta
devops,5.0,3.0,4.0,3.0,4.0,2.0,3.0,media
data_scientist,4.0,1.0,2.0,1.0,2.0,1.0,3.0,media
backend,1.0,2.0,3.0,4.0,3.0,5.0,3.0,media
sysadmin,2.0,1.0,1.0,4.0,4.0,4.0,3.0,media
qa,3.0,5.0,1.0,4.0,3.0,2.0,2.0,media
data_analyst,4.0,5.0,2.0,2.0,5.0,2.0,2.0,media
frontend,4.0,5.0,4.0,3.0,1.0,1.0,2.0,media
frontend,5.0,4.0,1.0,2.0,4.0,1.0,2.0,media
ciberseguridad,1.0,4.0,5.0,3.0,3.0,3.0,2.0,media
ml_engineer,3.0,3.0,3.0,1.0,3.0,1.0,3.0,media
devops,5.0,4.0,2.0,5.0,1.0,2.0,2.0,media
soporte_ti,5.0,2.0,5.0,3.0,4.0,3.0,2.0,media
frontend,2.0,2.0,3.0,4.0,2.0,1.0,1.0,baja
data_scientist,5.0,3.0,4.0,4.0,1.0,1.0,2.0,media
devops,3.0,1.0,5.0,2.0,1.0,4.0,4.0,alta
backend,2.0,3.0,1.0,5.0,4.0,3.0,1.0,baja
frontend,1.0,4.0,4.0,4.0,1.0,4.0,2.0,media
data_analyst,4.0,3.0,3.0,2.0,2.0,1.0,5.0,alta
soporte_ti,3.0,2.0,4.0,1.0,1.0,5.0,1.0,baja
qa,3.0,5.0,5.0,1.0,4.0,4.0,5.0,alta
backend,5.0,5.0,3.0,5.0,2.0,4.0,5.0,alta
ciberseguridad,1.0,1.0,5.0,5.0,3.0,5.0,3.0,media
sysadmin,1.0,2.0,3.0,3.0,5.0,4.0,2.0,media
soporte_ti,5.0,1.0,1.0,4.0,5.0,1.0,5.0,alta
frontend,4.0,4.0,1.0,3.0,4.0,3.0,2.0,media
data_analyst,4.0,5.0,3.0,5.0,4.0,1.0,5.0,alta
frontend,3.0,3.0,5.0,3.0,1.0,5.0,6.0,alta
data_scientist,2.0,5.0,3.0,3.0,4.0,3.0,5.0,alta
frontend,4.0,5.0,5.0,1.0,3.0,3.0,4.0,alta
data_analyst,3.0,5.0,4.0,5.0,3.0,1.0,4.0,alta
data_scientist,2.0,2.0,1.0,3.0,4.0,2.0,1.0,baja
data_analyst,1.0,5.0,3.0,1.0,2.0,1.0,5.0,alta
soporte_ti,3.0,5.0,5.0,1.0,3.0,3.0,2.0,media
qa,1.0,4.0,2.0,4.0,2.0,5.0,3.0,media
soporte_ti,3.0,4.0,4.0,4.0,2.0,3.0,1.0,baja
devops,4.0,5.0,3.0,1.0,1.0,2.0,2.0,media
frontend,1.0,4.0,1.0,3.0,2.0,3.0,1.0,baja
soporte_ti,2.0,5.0,3.0,1.0,1.0,1.0,3.0,media
sysadmin,1.0,4.0,5.0,1.0,1.0,3.0,3.0,media
data_scientist,5.0,2.0,1.0,1.0,3.0,3.0,2.0,media
frontend,3.0,3.0,4.0,2.0,1.0,2.0,1.0,baja
sysadmin,5.0,2.0,3.0,2.0,4.0,1.0,5.0,alta
ml_engineer,3.0,2.0,4.0,1.0,4.0,2.0,1.0,baja
frontend,2.0,5.0,3.0,3.0,4.0,5.0,3.0,media
qa,3.0,1.0,3.0,5.0,1.0,3.0,3.0,media
backend,3.0,5.0,4.0,4.0,5.0,3.0,5.0,alta
backend,1.0,5.0,3.0,5.0,5.0,1.0,1.0,baja
soporte_ti,4.0,1.0,3.0,4.0,3.0,1.0,0.0,baja
qa,2.0,2.0,2.0,1.0,1.0,1.0,1.0,baja
ml_engineer,3.0,1.0,4.0,5.0,3.0,3.0,4.0,alta
backend,1.0,1.0,1.0,3.0,3.0,2.0,4.0,alta
ciberseguridad,1.0,2.0,2.0,3.0,1.0,1.0,2.0,media
qa,4.0,3.0,4.0,4.0,5.0,5.0,4.0,alta
sysadmin,1.0,4.0,3.0,5.0,4.0,1.0,1.0,baja
devops,5.0,1.0,1.0,4.0,5.0,5.0,2.0,media
ciberseguridad,3.0,3.0,4.0,2.0,5.0,1.0,2.0,media
ciberseguridad,5.0,3.0,5.0,1.0,5.0,5.0,1.0,baja
frontend,1.0,3.0,2.0,3.0,3.0,2.0,3.0,media
backend,5.0,4.0,1.0,5.0,5.0,5.0,4.0,alta
ciberseguridad,1.0,5.0,4.0,1.0,5.0,3.0,3.0,media
devops,1.0,3.0,5.0,5.0,1.0,1.0,3.0,media
backend,3.0,1.0,1.0,4.0,1.0,2.0,2.0,media
backend,4.0,5.0,5.0,1.0,3.0,1.0,3.0,media
backend,5.0,5.0,2.0,1.0,3.0,1.0,3.0,media
frontend,4.0,1.0,3.0,1.0,1.0,5.0,3.0,media
data_scientist,1.0,5.0,3.0,3.0,3.0,5.0,2.0,media
devops,4.0,3.0,2.0,2.0,2.0,2.0,1.0,baja
data_scientist,1.0,1.0,5.0,2.0,4.0,4.0,6.0,alta
frontend,5.0,2.0,1.0,1.0,2.0,4.0,4.0,alta
frontend,3.0,1.0,3.0,5.0,4.0,5.0,4.0,alta
ml_engineer,4.0,5.0,2.0,4.0,5.0,5.0,0.0,baja
soporte_ti,1.0,3.0,5.0,3.0,3.0,1.0,2.0,media
data_scientist,4.0,4.0,2.0,3.0,5.0,3.0,3.0,media
ml_engineer,3.0,4.0,4.0,3.0,2.0,4.0,2.0,media
qa,4.0,1.0,4.0,1.0,2.0,3.0,2.0,media
devops,5.0,3.0,4.0,5.0,1.0,4.0,1.0,baja
data_scientist,3.0,3.0,2.0,1.0,3.0,4.0,3.0,media
soporte_ti,2.0,3.0,2.0,5.0,3.0,1.0,4.0,alta
backend,4.0,1.0,3.0,5.0,1.0,3.0,1.0,baja
sysadmin,2.0,1.0,4.0,1.0,5.0,5.0,2.0,media
data_scientist,2.0,3.0,3.0,5.0,2.0,4.0,2.0,media
devops,2.0,2.0,1.0,3.0,5.0,3.0,5.0,alta
backend,3.0,3.0,1.0,4.0,2.0,2.0,2.0,media
devops,3.0,3.0,1.0,1.0,2.0,3.0,2.0,media
data_scientist,3.0,2.0,3.0,1.0,3.0,4.0,5.0,alta
data_analyst,1.0,4.0,4.0,3.0,2.0,5.0,4.0,alta
frontend,5.0,1.0,2.0,4.0,2.0,4.0,3.0,media
data_scientist,2.0,3.0,3.0,3.0,3.0,4.0,2.0,media
data_scientist,2.0,3.0,4.0,4.0,3.0,3.0,3.0,media
ciberseguridad,4.0,5.0,1.0,1.0,3.0,1.0,0.0,baja
soporte_ti,5.0,3.0,2.0,5.0,5.0,1.0,5.0,alta
frontend,2.0,2.0,5.0,1.0,1.0,2.0,3.0,media
data_analyst,5.0,5.0,5.0,2.0,1.0,2.0,4.0,alta
data_analyst,4.0,2.0,1.0,4.0,4.0,4.0,3.0,media
frontend,2.0,3.0,5.0,1.0,5.0,5.0,6.0,alta
data_scientist,4.0,2.0,5.0,3.0,4.0,5.0,3.0,media
devops,1.0,4.0,3.0,5.0,1.0,5.0,5.0,alta
soporte_ti,5.0,2.0,2.0,5.0,4.0,4.0,1.0,baja
data_analyst,3.0,4.0,1.0,1.0,3.0,2.0,2.0,media
devops,3.0,3.0,5.0,2.0,1.0,1.0,3.0,media
