rol,nivel_experiencia,nivel_rutina,nivel_estructuracion,nivel_creatividad,resolucion_problemas_complejos,interaccion_humana,porcentaje_tareas_automatizables
ml_engineer,6.0,1.0,1.0,3.0,4.0,5.0,2.0
ciberseguridad,2.0,5.0,5.0,2.0,2.0,2.0,2.0
frontend,0.0,4.0,3.0,5.0,1.0,4.0,1.0
backend,1.0,1.0,1.0,2.0,4.0,2.0,1.0
frontend,5.0,1.0,1.0,5.0,5.0,1.0,3.0
data_analyst,2.0,2.0,1.0,2.0,2.0,5.0,1.0
data_analyst,2.0,4.0,3.0,2.0,,,5.0
soporte_ti,1.0,3.0,5.0,3.0,5.0,5.0,3.0
sysadmin,4.0,2.0,2.0,5.0,1.0,4.0,5.0
frontend,1.0,2.0,4.0,1.0,5.0,6.0,5.0
soporte_ti,1.0,2.0,1.0,1.0,5.0,3.0,2.0
soporte_ti,3.0,1.0,5.0,3.0,1.0,1.0,5.0
sysadmin,4.0,3.0,5.0,1.0,3.0,2.0,5.0
ciberseguridad,6.0,3.0,2.0,5.0,5.0,3.0,1.0
ml_engineer,1.0,5.0,2.0,4.0,5.0,2.0,4.0
devops,3.0,2.0,2.0,3.0,4.0,4.0,5.0
ml_engineer,1.0,2.0,1.0,4.0,4.0,3.0,5.0
backend,3.0,5.0,4.0,5.0,2.0,1.0,4.0
frontend,2.0,4.0,2.0,1.0,3.0,1.0,4.0
ml_engineer,2.0,3.0,4.0,2.0,1.0,2.0,2.0
devops,3.0,4.0,,2.0,4.0,2.0,1.0
qa,1.0,1.0,5.0,3.0,1.0,2.0,2.0
frontend,4.0,4.0,4.0,4.0,4.0,6.0,4.0
devops,3.0,2.0,2.0,2.0,1.0,1.0,1.0
soporte_ti,3.0,4.0,4.0,1.0,4.0,4.0,2.0
data_analyst,4.0,5.0,3.0,5.0,6.0,3.0,5.0
ciberseguridad,2.0,5.0,5.0,5.0,2.0,4.0,1.0
backend,5.0,5.0,4.0,4.0,3.0,4.0,2.0
devops,5.0,1.0,1.0,4.0,1.0,2.0,5.0
ml_engineer,2.0,1.0,4.0,5.0,4.0,0.0,3.0
data_analyst,3.0,1.0,5.0,4.0,3.0,4.0,2.0
ml_engineer,0.0,1.0,6.0,4.0,1.0,2.0,4.0
frontend,2.0,5.0,4.0,2.0,2.0,1.0,4.0
devops,2.0,4.0,3.0,5.0,1.0,2.0,5.0
ml_engineer,4.0,3.0,6.0,2.0,4.0,3.0,4.0
sysadmin,3.0,1.0,3.0,4.0,5.0,2.0,1.0
data_scientist,3.0,3.0,2.0,1.0,3.0,1.0,1.0
data_analyst,2.0,4.0,1.0,1.0,3.0,3.0,4.0
qa,4.0,3.0,,6.0,4.0,5.0,4.0
data_analyst,3.0,2.0,4.0,2.0,3.0,4.0,3.0
ml_engineer,5.0,2.0,4.0,5.0,1.0,2.0,1.0
ml_engineer,3.0,1.0,5.0,4.0,3.0,4.0,1.0
backend,5.0,5.0,0.0,5.0,3.0,5.0,3.0
sysadmin,3.0,5.0,5.0,5.0,2.0,2.0,0.0
qa,4.0,1.0,1.0,6.0,4.0,4.0,2.0
ciberseguridad,2.0,4.0,6.0,2.0,5.0,1.0,2.0
backend,3.0,5.0,4.0,1.0,5.0,3.0,5.0
frontend,3.0,5.0,1.0,1.0,4.0,1.0,1.0
qa,5.0,4.0,1.0,1.0,2.0,5.0,1.0
devops,2.0,3.0,4.0,4.0,3.0,1.0,5.0
data_scientist,4.0,5.0,4.0,3.0,2.0,0.0,3.0
backend,1.0,3.0,4.0,3.0,3.0,3.0,2.0
data_scientist,4.0,4.0,1.0,2.0,4.0,2.0,3.0
sysadmin,3.0,1.0,5.0,3.0,3.0,4.0,1.0
frontend,5.0,5.0,4.0,3.0,3.0,3.0,1.0
frontend,2.0,5.0,4.0,4.0,3.0,1.0,4.0
ciberseguridad,5.0,3.0,2.0,4.0,1.0,4.0,3.0
frontend,2.0,1.0,3.0,3.0,4.0,2.0,4.0
ml_engineer,1.0,1.0,3.0,1.0,0.0,5.0,4.0
data_analyst,1.0,5.0,3.0,,3.0,4.0,3.0
data_analyst,3.0,1.0,2.0,1.0,3.0,3.0,4.0
ciberseguridad,1.0,1.0,4.0,5.0,1.0,1.0,1.0
ml_engineer,5.0,3.0,6.0,1.0,1.0,5.0,4.0
data_analyst,2.0,5.0,4.0,4.0,5.0,1.0,1.0
devops,,4.0,1.0,4.0,5.0,4.0,3.0
ml_engineer,4.0,4.0,4.0,2.0,1.0,0.0,4.0
sysadmin,3.0,4.0,1.0,1.0,3.0,4.0,5.0
soporte_ti,6.0,3.0,1.0,5.0,2.0,1.0,5.0
data_scientist,1.0,3.0,,3.0,5.0,4.0,5.0
ml_engineer,4.0,1.0,4.0,1.0,5.0,1.0,2.0
data_scientist,4.0,4.0,3.0,4.0,4.0,1.0,5.0
devops,2.0,6.0,3.0,1.0,3.0,3.0,5.0
soporte_ti,6.0,4.0,1.0,2.0,1.0,1.0,1.0
qa,5.0,2.0,5.0,5.0,4.0,3.0,4.0
ciberseguridad,3.0,2.0,4.0,2.0,5.0,5.0,1.0
ml_engineer,6.0,,3.0,1.0,5.0,4.0,1.0
ciberseguridad,1.0,5.0,3.0,5.0,3.0,3.0,2.0
frontend,3.0,5.0,5.0,5.0,5.0,4.0,1.0
data_scientist,5.0,6.0,4.0,1.0,2.0,5.0,3.0
data_scientist,2.0,3.0,5.0,4.0,3.0,3.0,5.0
frontend,2.0,3.0,3.0,1.0,3.0,5.0,5.0
qa,4.0,3.0,3.0,6.0,3.0,5.0,4.0
backend,2.0,1.0,2.0,4.0,2.0,3.0,3.0
sysadmin,1.0,1.0,3.0,3.0,4.0,3.0,1.0
ml_engineer,5.0,1.0,3.0,3.0,5.0,5.0,2.0
data_scientist,,2.0,5.0,2.0,3.0,1.0,3.0
sysadmin,2.0,3.0,1.0,0.0,4.0,1.0,2.0
data_scientist,1.0,4.0,3.0,3.0,5.0,,3.0
backend,2.0,2.0,4.0,2.0,4.0,3.0,
frontend,5.0,1.0,,5.0,1.0,1.0,2.0
backend,4.0,2.0,4.0,5.0,4.0,2.0,2.0
data_scientist,2.0,1.0,6.0,6.0,1.0,2.0,5.0
frontend,5.0,1.0,3.0,2.0,4.0,3.0,1.0
backend,4.0,1.0,2.0,4.0,2.0,5.0,5.0
qa,4.0,4.0,1.0,3.0,0.0,4.0,3.0
frontend,2.0,3.0,4.0,5.0,5.0,2.0,1.0
ml_engineer,1.0,0.0,4.0,4.0,4.0,1.0,0.0
data_scientist,1.0,2.0,5.0,5.0,6.0,,1.0
devops,,1.0,4.0,1.0,4.0,1.0,2.0
ciberseguridad,5.0,1.0,5.0,2.0,1.0,3.0,5.0
data_scientist,,1.0,5.0,4.0,5.0,2.0,5.0
ml_engineer,4.0,2.0,5.0,4.0,4.0,1.0,4.0
data_analyst,1.0,2.0,3.0,5.0,4.0,4.0,1.0
sysadmin,4.0,4.0,1.0,2.0,5.0,1.0,1.0
sysadmin,3.0,5.0,5.0,2.0,5.0,3.0,5.0
ciberseguridad,0.0,1.0,5.0,4.0,1.0,3.0,3.0
data_scientist,1.0,5.0,3.0,2.0,4.0,5.0,2.0
ciberseguridad,3.0,2.0,5.0,4.0,1.0,1.0,2.0
soporte_ti,6.0,4.0,4.0,6.0,4.0,3.0,
data_scientist,4.0,2.0,3.0,0.0,1.0,4.0,3.0
frontend,3.0,1.0,4.0,5.0,4.0,1.0,5.0
frontend,2.0,6.0,1.0,2.0,1.0,5.0,3.0
soporte_ti,4.0,3.0,2.0,5.0,2.0,2.0,5.0
qa,3.0,4.0,3.0,3.0,3.0,3.0,5.0
soporte_ti,5.0,2.0,2.0,5.0,6.0,5.0,1.0
soporte_ti,4.0,5.0,5.0,3.0,4.0,3.0,1.0
ciberseguridad,2.0,5.0,3.0,1.0,3.0,4.0,5.0
backend,1.0,2.0,3.0,1.0,2.0,1.0,4.0
frontend,3.0,1.0,1.0,1.0,2.0,3.0,2.0
backend,1.0,3.0,1.0,4.0,3.0,1.0,5.0
soporte_ti,1.0,2.0,4.0,3.0,6.0,1.0,5.0
qa,3.0,1.0,3.0,5.0,5.0,3.0,3.0
frontend,1.0,4.0,2.0,3.0,3.0,3.0,4.0
data_scientist,4.0,4.0,3.0,4.0,1.0,4.0,3.0
data_scientist,2.0,3.0,3.0,4.0,4.0,3.0,5.0
data_scientist,5.0,2.0,2.0,2.0,2.0,1.0,2.0
ml_engineer,1.0,4.0,3.0,1.0,2.0,2.0,2.0
ciberseguridad,3.0,4.0,4.0,4.0,2.0,2.0,3.0
data_analyst,1.0,1.0,3.0,5.0,3.0,2.0,3.0
soporte_ti,5.0,4.0,1.0,,1.0,3.0,4.0
data_analyst,2.0,1.0,3.0,3.0,5.0,4.0,4.0
devops,1.0,3.0,1.0,1.0,4.0,1.0,
ciberseguridad,1.0,5.0,2.0,5.0,2.0,2.0,2.0
data_scientist,3.0,5.0,3.0,1.0,3.0,3.0,1.0
frontend,3.0,1.0,1.0,,5.0,2.0,4.0
ciberseguridad,4.0,3.0,4.0,3.0,5.0,5.0,4.0
ml_engineer,1.0,2.0,5.0,5.0,4.0,3.0,4.0
frontend,4.0,4.0,3.0,1.0,2.0,1.0,5.0
backend,2.0,2.0,1.0,5.0,3.0,1.0,2.0
ml_engineer,4.0,3.0,1.0,5.0,4.0,5.0,5.0
backend,4.0,1.0,3.0,3.0,2.0,3.0,1.0
frontend,3.0,3.0,4.0,3.0,1.0,3.0,2.0
data_scientist,2.0,5.0,,5.0,5.0,5.0,2.0
data_analyst,5.0,1.0,2.0,5.0,1.0,3.0,5.0
soporte_ti,2.0,1.0,1.0,1.0,1.0,3.0,5.0
ciberseguridad,2.0,6.0,1.0,3.0,2.0,4.0,4.0
ciberseguridad,4.0,5.0,5.0,4.0,,3.0,3.0
data_scientist,4.0,,3.0,3.0,1.0,4.0,1.0
soporte_ti,1.0,5.0,2.0,3.0,4.0,4.0,4.0
backend,2.0,3.0,2.0,5.0,2.0,5.0,3.0
data_analyst,5.0,4.0,3.0,1.0,2.0,2.0,1.0
soporte_ti,1.0,3.0,1.0,4.0,5.0,2.0,4.0
backend,4.0,4.0,4.0,5.0,5.0,3.0,6.0
soporte_ti,1.0,3.0,5.0,5.0,2.0,1.0,3.0
devops,3.0,3.0,,3.0,5.0,,5.0
ciberseguridad,0.0,,2.0,,,5.0,2.0
devops,4.0,3.0,2.0,1.0,3.0,3.0,4.0
soporte_ti,3.0,5.0,4.0,2.0,1.0,3.0,3.0
ml_engineer,2.0,3.0,5.0,3.0,1.0,3.0,4.0
ciberseguridad,6.0,1.0,0.0,3.0,4.0,4.0,3.0
data_analyst,2.0,5.0,1.0,4.0,3.0,3.0,5.0
data_scientist,1.0,4.0,3.0,5.0,3.0,1.0,4.0
devops,1.0,1.0,5.0,4.0,5.0,1.0,2.0
data_scientist,3.0,2.0,4.0,3.0,2.0,5.0,5.0
backend,4.0,3.0,5.0,4.0,4.0,5.0,4.0
sysadmin,4.0,2.0,3.0,5.0,2.0,6.0,1.0
ml_engineer,2.0,2.0,2.0,5.0,2.0,1.0,5.0
backend,1.0,2.0,2.0,1.0,4.0,4.0,3.0
qa,4.0,5.0,1.0,3.0,4.0,4.0,1.0
backend,3.0,4.0,3.0,5.0,5.0,1.0,3.0
backend,3.0,3.0,5.0,,5.0,,2.0
sysadmin,4.0,1.0,1.0,5.0,2.0,6.0,3.0
ciberseguridad,3.0,5.0,1.0,2.0,1.0,5.0,5.0
ml_engineer,2.0,5.0,1.0,4.0,4.0,5.0,4.0
ml_engineer,1.0,1.0,3.0,1.0,4.0,1.0,3.0
data_analyst,1.0,2.0,3.0,1.0,2.0,5.0,2.0
backend,5.0,1.0,3.0,1.0,2.0,3.0,3.0
ml_engineer,3.0,4.0,5.0,4.0,1.0,2.0,2.0
frontend,1.0,4.0,2.0,3.0,2.0,1.0,2.0
data_analyst,4.0,4.0,5.0,2.0,2.0,4.0,2.0
frontend,5.0,3.0,3.0,5.0,2.0,2.0,4.0
sysadmin,1.0,2.0,2.0,4.0,5.0,1.0,5.0
frontend,2.0,1.0,1.0,,4.0,5.0,3.0
data_scientist,2.0,1.0,3.0,5.0,5.0,3.0,5.0
soporte_ti,3.0,1.0,3.0,4.0,2.0,5.0,4.0
frontend,6.0,5.0,2.0,0.0,5.0,1.0,2.0
sysadmin,5.0,3.0,1.0,2.0,1.0,5.0,5.0
data_scientist,5.0,1.0,0.0,2.0,1.0,5.0,3.0
sysadmin,2.0,1.0,5.0,4.0,3.0,4.0,3.0
sysadmin,4.0,2.0,5.0,3.0,3.0,5.0,5.0
backend,4.0,4.0,4.0,4.0,2.0,3.0,5.0
sysadmin,4.0,2.0,3.0,0.0,5.0,2.0,5.0
frontend,2.0,4.0,2.0,2.0,5.0,3.0,0.0
soporte_ti,4.0,1.0,5.0,3.0,4.0,3.0,
sysadmin,1.0,3.0,2.0,5.0,1.0,5.0,1.0
sysadmin,2.0,2.0,1.0,3.0,2.0,0.0,5.0
ml_engineer,1.0,2.0,2.0,0.0,3.0,5.0,1.0
qa,2.0,5.0,2.0,3.0,4.0,3.0,5.0
devops,4.0,5.0,4.0,5.0,5.0,2.0,4.0
data_scientist,5.0,4.0,4.0,2.0,5.0,4.0,1.0
qa,4.0,2.0,4.0,3.0,5.0,5.0,4.0
data_scientist,4.0,3.0,4.0,1.0,4.0,5.0,3.0
devops,6.0,5.0,2.0,4.0,3.0,5.0,5.0
soporte_ti,3.0,2.0,1.0,5.0,1.0,5.0,2.0
data_analyst,0.0,3.0,1.0,5.0,2.0,4.0,2.0
devops,2.0,5.0,3.0,1.0,1.0,6.0,4.0
ciberseguridad,5.0,2.0,5.0,2.0,5.0,4.0,3.0
qa,2.0,1.0,1.0,1.0,1.0,4.0,2.0
frontend,4.0,3.0,1.0,5.0,5.0,0.0,2.0
backend,5.0,2.0,4.0,4.0,5.0,1.0,5.0
ciberseguridad,2.0,5.0,3.0,5.0,4.0,5.0,5.0
sysadmin,4.0,4.0,5.0,3.0,,3.0,3.0
sysadmin,5.0,3.0,5.0,1.0,2.0,4.0,1.0
frontend,3.0,3.0,2.0,4.0,1.0,5.0,1.0
frontend,4.0,5.0,1.0,3.0,4.0,5.0,4.0
ml_engineer,3.0,5.0,6.0,4.0,5.0,3.0,4.0
data_scientist,2.0,2.0,5.0,4.0,3.0,3.0,3.0
ml_engineer,2.0,4.0,2.0,3.0,3.0,3.0,4.0
devops,2.0,4.0,5.0,5.0,1.0,5.0,1.0
data_analyst,4.0,1.0,2.0,1.0,2.0,1.0,5.0
qa,4.0,3.0,1.0,4.0,1.0,2.0,5.0
frontend,4.0,1.0,1.0,1.0,1.0,5.0,3.0
data_scientist,1.0,4.0,1.0,2.0,2.0,3.0,3.0
qa,4.0,3.0,1.0,4.0,3.0,3.0,5.0
devops,2.0,1.0,3.0,4.0,2.0,5.0,2.0
data_analyst,2.0,6.0,3.0,6.0,1.0,4.0,3.0
ciberseguridad,0.0,1.0,5.0,6.0,2.0,3.0,5.0
ml_engineer,6.0,3.0,2.0,2.0,2.0,2.0,
devops,4.0,3.0,6.0,5.0,2.0,3.0,2.0
sysadmin,,3.0,5.0,4.0,5.0,3.0,2.0
ml_engineer,,5.0,5.0,1.0,5.0,2.0,1.0
backend,1.0,1.0,4.0,4.0,1.0,3.0,5.0
ml_engineer,2.0,3.0,2.0,1.0,3.0,1.0,4.0
devops,4.0,6.0,5.0,1.0,2.0,2.0,5.0
frontend,4.0,2.0,3.0,5.0,5.0,1.0,3.0
data_analyst,3.0,4.0,3.0,4.0,5.0,5.0,2.0
devops,5.0,4.0,4.0,4.0,4.0,5.0,5.0
frontend,1.0,3.0,3.0,5.0,1.0,3.0,2.0
frontend,3.0,,3.0,5.0,5.0,5.0,4.0
ml_engineer,5.0,4.0,1.0,1.0,1.0,5.0,2.0
data_analyst,5.0,3.0,1.0,5.0,1.0,5.0,3.0
devops,2.0,3.0,3.0,2.0,2.0,2.0,5.0
devops,5.0,1.0,2.0,1.0,0.0,1.0,4.0
sysadmin,1.0,2.0,3.0,5.0,4.0,2.0,4.0
data_scientist,2.0,1.0,1.0,3.0,0.0,4.0,4.0
qa,4.0,4.0,5.0,2.0,1.0,4.0,1.0
data_scientist,1.0,4.0,3.0,2.0,4.0,3.0,4.0
devops,1.0,1.0,3.0,1.0,4.0,3.0,3.0
ml_engineer,4.0,3.0,5.0,3.0,4.0,2.0,5.0
ciberseguridad,1.0,3.0,3.0,4.0,5.0,2.0,3.0
devops,4.0,3.0,5.0,4.0,3.0,3.0,4.0
backend,3.0,5.0,4.0,3.0,3.0,3.0,3.0
frontend,5.0,1.0,4.0,2.0,6.0,3.0,4.0
soporte_ti,3.0,5.0,5.0,4.0,1.0,4.0,5.0
devops,0.0,1.0,3.0,1.0,1.0,5.0,5.0
backend,3.0,2.0,1.0,0.0,2.0,1.0,5.0
backend,3.0,1.0,1.0,3.0,2.0,3.0,2.0
qa,1.0,4.0,2.0,3.0,4.0,4.0,2.0
data_analyst,2.0,1.0,2.0,1.0,5.0,2.0,6.0
devops,,2.0,2.0,1.0,3.0,2.0,3.0
data_analyst,2.0,,1.0,1.0,3.0,1.0,3.0
ciberseguridad,5.0,4.0,3.0,2.0,2.0,1.0,1.0
ml_engineer,3.0,3.0,2.0,0.0,5.0,1.0,3.0
soporte_ti,4.0,2.0,1.0,,4.0,4.0,5.0
ml_engineer,3.0,2.0,5.0,1.0,5.0,3.0,5.0
backend,2.0,4.0,0.0,3.0,5.0,2.0,5.0
frontend,3.0,2.0,1.0,3.0,2.0,1.0,4.0
frontend,2.0,2.0,5.0,1.0,3.0,2.0,4.0
data_analyst,1.0,3.0,3.0,2.0,2.0,1.0,2.0
ml_engineer,2.0,3.0,1.0,1.0,5.0,1.0,1.0
backend,1.0,2.0,5.0,5.0,5.0,2.0,5.0
qa,1.0,1.0,4.0,4.0,3.0,5.0,4.0
sysadmin,3.0,2.0,2.0,1.0,5.0,1.0,1.0
ml_engineer,4.0,3.0,2.0,4.0,4.0,5.0,1.0
data_analyst,2.0,2.0,4.0,4.0,1.0,2.0,1.0
soporte_ti,5.0,3.0,5.0,2.0,1.0,4.0,2.0
data_analyst,5.0,4.0,2.0,5.0,4.0,4.0,3.0
backend,2.0,3.0,5.0,5.0,2.0,3.0,5.0
devops,3.0,3.0,5.0,3.0,3.0,5.0,3.0
qa,1.0,5.0,2.0,3.0,2.0,4.0,2.0
backend,2.0,3.0,3.0,4.0,2.0,1.0,5.0
qa,4.0,2.0,5.0,1.0,1.0,2.0,5.0
data_scientist,5.0,4.0,4.0,2.0,5.0,4.0,1.0
data_scientist,5.0,4.0,,2.0,3.0,5.0,5.0
frontend,1.0,4.0,4.0,3.0,1.0,2.0,3.0
qa,1.0,5.0,1.0,2.0,,3.0,2.0
ml_engineer,5.0,5.0,4.0,2.0,4.0,5.0,4.0
soporte_ti,2.0,3.0,3.0,1.0,2.0,2.0,5.0
sysadmin,5.0,3.0,3.0,4.0,4.0,5.0,4.0
data_analyst,5.0,2.0,4.0,5.0,3.0,5.0,2.0
data_scientist,4.0,4.0,1.0,4.0,5.0,5.0,5.0
data_analyst,5.0,5.0,5.0,4.0,5.0,1.0,4.0
data_analyst,4.0,3.0,2.0,2.0,2.0,2.0,5.0
soporte_ti,1.0,3.0,1.0,5.0,3.0,4.0,4.0
backend,4.0,5.0,5.0,3.0,1.0,1.0,5.0
data_analyst,5.0,4.0,4.0,2.0,2.0,3.0,3.0
qa,2.0,4.0,1.0,2.0,3.0,1.0,1.0
soporte_ti,3.0,4.0,3.0,2.0,4.0,5.0,4.0
data_scientist,5.0,4.0,5.0,2.0,3.0,2.0,4.0
devops,4.0,4.0,4.0,3.0,6.0,1.0,5.0
data_analyst,2.0,4.0,5.0,4.0,5.0,0.0,2.0
frontend,4.0,6.0,1.0,1.0,3.0,2.0,1.0
soporte_ti,2.0,4.0,4.0,1.0,5.0,1.0,1.0
backend,3.0,3.0,3.0,5.0,4.0,5.0,3.0
ciberseguridad,1.0,1.0,3.0,2.0,4.0,3.0,4.0
data_scientist,5.0,5.0,1.0,5.0,1.0,4.0,5.0
data_scientist,3.0,5.0,1.0,2.0,3.0,1.0,4.0
ciberseguridad,4.0,5.0,3.0,4.0,5.0,1.0,6.0
qa,4.0,3.0,3.0,5.0,2.0,2.0,3.0
devops,3.0,3.0,5.0,4.0,1.0,2.0,4.0
